"","Pclass","SibSp","Parch","Embarked","Sexfemale","Sexmale","EmbarkedC","EmbarkedQ","EmbarkedS","Survived"
"1",3,0,0,"Q",0,1,0,1,0,0
"2",3,1,0,"S",1,0,0,0,1,1
"3",2,0,0,"Q",0,1,0,1,0,0
"4",3,0,0,"S",0,1,0,0,1,0
"5",3,1,1,"S",1,0,0,0,1,1
"6",3,0,0,"S",0,1,0,0,1,0
"7",3,0,0,"Q",1,0,0,1,0,1
"8",2,1,1,"S",0,1,0,0,1,0
"9",3,0,0,"C",1,0,1,0,0,1
"10",3,2,0,"S",0,1,0,0,1,0
"11",3,0,0,"S",0,1,0,0,1,0
"12",1,0,0,"S",0,1,0,0,1,0
"13",1,1,0,"S",1,0,0,0,1,1
"14",2,1,0,"S",0,1,0,0,1,0
"15",1,1,0,"S",1,0,0,0,1,1
"16",2,1,0,"C",1,0,1,0,0,1
"17",2,0,0,"Q",0,1,0,1,0,0
"18",3,0,0,"C",0,1,1,0,0,0
"19",3,1,0,"S",1,0,0,0,1,1
"20",3,0,0,"C",1,0,1,0,0,1
"21",1,1,0,"C",0,1,1,0,0,0
"22",3,0,1,"S",0,1,0,0,1,0
"23",1,0,0,"S",1,0,0,0,1,1
"24",1,0,1,"C",0,1,1,0,0,1
"25",1,1,3,"C",1,0,1,0,0,1
"26",3,1,0,"S",0,1,0,0,1,0
"27",1,0,1,"C",1,0,1,0,0,1
"28",3,0,0,"C",0,1,1,0,0,0
"29",1,0,0,"S",0,1,0,0,1,0
"30",3,2,0,"C",0,1,1,0,0,0
"31",2,1,0,"S",0,1,0,0,1,0
"32",2,2,0,"S",0,1,0,0,1,0
"33",3,1,2,"S",1,0,0,0,1,1
"34",3,1,2,"S",1,0,0,0,1,1
"35",1,1,0,"C",0,1,1,0,0,0
"36",3,0,0,"C",0,1,1,0,0,0
"37",3,0,0,"S",1,0,0,0,1,1
"38",3,0,0,"S",1,0,0,0,1,1
"39",3,0,0,"S",0,1,0,0,1,0
"40",3,0,0,"S",0,1,0,0,1,0
"41",3,0,1,"C",0,1,1,0,0,0
"42",1,0,0,"S",0,1,0,0,1,0
"43",3,0,0,"S",0,1,0,0,1,0
"44",2,0,0,"S",1,0,0,0,1,1
"45",1,1,0,"S",1,0,0,0,1,1
